gc_orgID,harmonized_name,nom_harmonisé,abbreviation,abreviation,infobaseID,rg,ati,open_gov_ouvert,pop,phoenix,website,site_web
2311,The National Battlefields Commission,Commission des champs de bataille nationaux,NBC,CCBN,218,102,The National Battlefields Commission,nbc-ccbn,NBC,NBC00,www.ccbn-nbc.gc.ca,www.ccbn-nbc.gc.ca
2312,Canada Energy Regulator,Régie de l'énergie du Canada,CER,REC,221,195,National Energy Board,cer-rec,ERG,ENR00,https://www.cer-rec.gc.ca/index-eng.html,https://www.cer-rec.gc.ca/index-fra.html
2313,National Research Council Canada,Conseil national de recherches Canada,NRC,CNRC,228,35,National Research Council of Canada,nrc-cnrc,NRC,NRC00,https://nrc.canada.ca/en,https://nrc.canada.ca/fr
2314,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,NSERC,CRSNG,230,27,Natural Sciences and Engineering Research Council of Canada,nserc-crsng,NSE,NSE00,www.nserc-crsng.gc.ca,www.nserc-crsng.gc.ca
2315,Parks Canada,Parcs Canada,PC,PC,263,124,Parks Canada Agency,pc,CAP,CAP00,www.pc.gc.ca,www.pc.gc.ca
2316,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,SSHRC,CRSH,306,63,Social Sciences and Humanities Research Council,sshrc-crsh,SSH,SSH00,www.sshrc-crsh.gc.ca,www.sshrc-crsh.gc.ca
2317,Invest in Canada Hub,Investir au Canada,,,347,180,Invest in Canada,iic-iac,ICH,,,
2318,Polar Knowledge Canada,Savoir polaire Canada,POLAR,POLAIRE,552,171,Polar Knowledge Canada,polar-polaire,CHR,CHR00,www.canada.ca/en/polar-knowledge.html,www.canada.ca/fr/savoir-polaire.html
2319,Accessibility Standards Canada,Normes d'accessibilité Canada,ASC,NAC,558,199,Canadian Accessibility Standards Development Organization,casdo-ocena,CAQ,CAQ00,https://accessible.canada.ca/,https://accessibilite.canada.ca/
2396,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,CRTC,CRTC,93,16,Canadian Radio-television and Telecommunications Commission,crtc,RTC,RTC00,www.crtc.gc.ca,www.crtc.gc.ca
3399,African Development Bank,Banque africaine de développement,,,7,,,,,,www.afdb.org,www.afdb.org
3400,Asian Development Bank,Banque asiatique de développement,,,8,,,,,,www.adb.org,www.adb.org
3401,Caribbean Development Bank,Banque de développement des Caraïbes,,,103,,,,,,www.caribank.org,www.caribank.org
3402,European Bank for Reconstruction and Development,Banque européenne pour la reconstruction et le développement,,,145,,,,,,www.ebrd.com,www.ebrd.com
3403,Inter-American Development Bank,Banque interaméricaine de développement,,,181,,,,,,www.iadb.org,www.iadb.org
