gc_orgID,name,harmonized_name
2304,canada school public service ecole fonction publique,Canada School of Public Service
3703,canada water agency,Canada Water Agency
3703,canada water agency agence eau,Canada Water Agency
3448,canada-newfoundland labrador offshore petroleum board,Canada-Newfoundland and Labrador Offshore Petroleum Board
3449,canada-nova scotia offshore energy regulator,Canada-Nova Scotia Offshore Energy Regulator
3449,canada-nova-scotia offshore petroleum board,Canada-Nova Scotia Offshore Energy Regulator
2319,canadian accessibility standards development organization,Accessibility Standards Canada
3450,canadian agency for drugs technologies in health cadth,Canadian Agency for Drugs and Technologies in Health (CADTH)
3655,canadian air transport security authority,Canadian Air Transport Security Authority
3655,canadian air transport security authority administration canadienne surete transport aerien,Canadian Air Transport Security Authority
3557,canadian army,Canadian Army
3681,canadian artists producers professional relations tribunal,Canadian Artists and Producers Professional Relations Tribunal
3619,canadian broadcasting corporation,Canadian Broadcasting Corporation
2305,canadian centre for occupational health safety,Canadian Centre for Occupational Health and Safety
2305,canadian centre for occupational health safety centre canadien hygiene securite travail,Canadian Centre for Occupational Health and Safety
3451,canadian centre on substance use addictions,Canadian Centre on Substance Use and Addictions
3533,canadian coast guard,Canadian Coast Guard
3639,canadian commercial corporation,Canadian Commercial Corporation
3534,canadian conservation institute,Canadian Conservation Institute
3682,canadian cultural property export review board,Canadian Cultural Property Export Review Board
3615,canadian dairy commission,Canadian Dairy Commission
3615,canadian dairy commission commission canadienne lait,Canadian Dairy Commission
2229,canadian digital service,Employment and Social Development Canada
2229,canadian digital service employment social development,Employment and Social Development Canada
2229,canadian digital service service numerique canadien,Employment and Social Development Canada
3452,canadian energy research institute,Canadian Energy Research Institute
2306,canadian food inspection agency,Canadian Food Inspection Agency
2306,canadian food inspection agency agence canadienne inspection aliments,Canadian Food Inspection Agency
3535,canadian forces housing agency,Canadian Forces Housing Agency
3520,canadian foundation for climate atmospheric sciences,Canadian Foundation for Climate and Atmospheric Sciences
3516,canadian foundation for healthcare improvement cfhi,Canadian Foundation for Healthcare Improvement (CFHI)
2246,canadian grain commission,Canadian Grain Commission
2246,canadian grain commission commission canadienne grains,Canadian Grain Commission
